text,complexity
آبگوشت,1
دیزی,2
کله پاچه,1
همبرگر,1
سالاد,1
سالاد شیرازی,2
لازانیا,2
پیتزا,2
چیز برگر,2
ساندویچ,1
فلافل,1
هله هوله,2
آب,1
چای,1
نوشمک,2
کیک,1
شام,1
ناهار,1
صبحانه,1
عصرانه,1
سالاد الویه,2
سیرابی,2
امتحان کتبی,2
امتحان شفاهی,2
انجمن اولیاء و مربیان,3
تخته سیاه,2
تخته هوشمند,2
تغذیه,2
کارنامه,1
امتحان نهایی,2
آنتن کلاس,3
خرخون,1
زنگ تفریح,2
زنگ آخر,1
صَف,1
تقلب,1
کیف مدرسه,1
مداد ,1
پاک کن,1
دفتر,1
شب امتحان,1
زنگ ورزش,1
معلم,1
ناظم,1
سرایدار,2
کتابخانه,1
آزمایشگاه,2
ادبیات,2
ریاضی,2
علوم,1
دین و زندگی,2
عربی,2
دستور زبان فارسی,3
انگلیسی,2
فیزیک,2
جغرافیا,2
حرفه و فن,2
آمادگی دفاعی,2
تاریخ,2
شیمی,2
هندسه,1
آمار,2
خط کش,1
دفتر نقاشی,2
شاگرد,1
همکلاسی,2
غلط گیر,2
نمره انضباط,2
حل تمرین,3
جلد کتاب,1
گونیا,2
پرگار,1
تابع,3
عدد صحیح,3
عدد حقیقی,3
ضرب,1
منها,1
جمع,1
تقسیم,2
انتگرال,2
مشتق,2
توان,2
درجه,2
رادیکال,2
اعداد زوج,1
اعداد فرد,1
جُزوه,1
مدیر,2
معادله,2
سینوس,2
کسینوس,2
تانژانت,1
کتانژانت,1
زاویه,2
موازی,2
محیط,2
مساحت,1
تفاضل,3
عدد پی,2
بینهایت,2
اتم ,1
مولکول,2
نیوتن,2
رسانا,2
چگالی,3
بقای انرژی,3
طول جغرافیایی,2
انیشتین,2
گالیله,3
عدد کوانتمی,3
نقطه جوش,2
نقطه ذوب,3
تقطیر,3
دو بیتی,2
قصیده,2
مثنوی,2
غزل,2
ماضی نقلی,3
ماضی بعید,3
مضارع اخباری,3
ماضی استمراری,3
ماضی ساده,3
آتلیه عکاسی,2
آژانس مسافرتی,3
آهنگری,2
نمایشگاه ماشین,2
ساندویچی,2
دَکِه,1
استخر,1
باشگاه بدنسازی,2
برشکاری,3
برقکار,1
نقاش,1
پارچه فروشی,2
کارمند شهربازی,3
پرده فروشی,2
پمپ بنزین,2
پوشاکی,3
تالار ,1
رفتگر,1
دکوراسیون داخلی,3
بساز بفروش,2
خیاط,2
معلم,1
خشکشویی,2
چایخانه,2
زندان بان,2
سمساری,2
کارمند صدا و سیما,3
مجری,2
بازیگر,2
نویسنده,2
گریمور,2
فیلمبردار,2
عینک فروشی,2
ساعت فروشی,2
کافی شاپ,2
کارواش,1
کتابخانه,1
کتابفروشی,2
کفاشی,2
کلید ساز,2
گلدوزی,2
گلفروشی,2
فروش لوازم خانگی,3
لوازم یدکی,3
پیک موتوری,2
خلبان,1
پستچی,2
میوه فروشی,2
مسافرخانه,1
سوپر مارکت,1
خوشنویسی,2
ورزشگاه,1
وکیل,2
چاپخانه,2
پارکبان,1
نوازنده,1
خطاط,1
کاسب,3
نگهبان,1
آبدارچی,2
بنا,1
گدایی,2
برنامه نویس,2
نویسنده,2
کارگردان,1
تهیه کننده,2
فیلم نامه نویس,2
گرافیست,2
کافی نت,2
لوله کش,1
مجسمه ساز,2
ویراستار,2
کشاورز,1
در و پنجره ساز,2
روانشناس,1
مربی ورزش,2
صافکار,1
ستاره شناس,1
فیزیکدان,2
فضانورد,1
منشی,2
مترجم,1
فالگیر,2
دزد,1
چشم پزشک,1
قاضی,2
کلاه بردار,1
گارسون,1
نجات غریق,2
تاسیسات,3
آرشیتکت,2
تصویر بردار,3
دی جی,2
ملوان,1
ناخدا,1
بازاریاب,2
حمومی,2
خرازی,2
پلیس,2
نمد بافی,3
قاچاقچی,2
نساجی,2
سفالگری,2
رنگرزی,3
ماساژور,1
صدا بردار,2
نورپرداز,2
صوتی تصویری,3
عتیقه فروش,2
گلسازی,3
ابزار فروش,2
دستفروش,1
شعبده باز,1
رَمال,2
جنگل بان,1
مزون عروس,2
قنادی,2
شکارچی,2
شهردار,1
فرماندار,2
وزیر کشور,2
سرباز,1
کلاسیک,2
دکلمه,2
راک,1
هیپ هاپ,2
پاپ,1
سنتی,2
رپ,1
وزن,1
دی جی,2
جاز,2
تار,1
تنبور,3
چنگ,1
سه تار,1
سنتور,1
کمانچه,2
گیتار,2
ویولون,2
ساکسیفون,2
شیپور,2
فلوت,1
نِی,2
دَف,1
دایره,2
تنبک,1
طبل,1
سنج,1
زنبورک,2
دُهُل,1
تِمپو,3
درام,2
پیانو,2
ارگ,1
کیبورد,2
گیتار الکتریک,2
گیتار بیس,2
آکوستیک,2
ریتم,2
ملودی,2
نُت,1
کلید,2
ارکستر,2
سازدهنی,2
ضرب,1
نوازنده,1
خواننده,1
موسیقی دان,2
موزیک,2
نوا ,3
آواز,1
شاعر,1
کنسرت,1
اپرا,1
جنگل,1
کوه,1
دشت,1
تپه,1
غار,1
سرسبز,2
بیابان,2
غروب,1
طلوع,1
دریا,2
کرانه,2
جزیره,2
آبشار,1
ابر,1
برکه,2
باتلاق,2
دره,1
برف,1
باران,1
تگرگ,1
طوفان,1
آفتاب,1
زمستان,1
پاییز,2
بهار,1
شکوفه,1
تابستان,1
کوه یخ,2
قله کوه,1
شبنم,1
مِه,1
گرگ و میش,2
گل,1
گیاه,2
میوه,2
آتشفشان,1
آواز پرنده,3
کره زمین,2
خورشید,2
ماه,1
مریخ,2
شهاب سنگ,1
رودخانه,1
رود  ,1
خلیج,2
ستاره,1
سیاره,2
صورت فلکی,2
کهکشان,1
اتمسفر,2
اقیانوس,2
آبگیر,3
چشمه,1
حیوان,2
منظومه شمسی,2
غنچه,1
جوانه,1
بوته,2
ستاره دنباله دار,1
گل آفتابگردان,1
گل لاله,2
گل رز,1
گرد و خاک,1
قلوه سنگ,2
رنگین کمان,2
جلگه,3
رشته کوه,1
علفزار,2
گندم زار,2
جزر و مد,1
رعد و برق,1
نور,1
برگ,1
شن,1
ماسه,1
آسمان,1
خاک,1
تنگه,1
مواد مذاب,2
باد,1
زلزله,1
درخت کاج,1
درخت بید,2
درخت سرو,2
پیاده روی,2
ایروبیک,2
دو,1
پرتاب نیزه,2
پرتاب وزنه,2
پرتاب دیسک,2
پرتاب چکش,2
پرتاب نیزه,2
پرش سه گام,3
پرش با نیزه,2
گاو بازی,2
سوارکاری,2
چوگان,2
بوکس,1
کیک بوکسینگ,2
جودو,2
کاراته,1
شمشیربازی,2
کشتی آزاد,2
کشتی فرنگی,2
وزنه برداری,2
دوچرخه سواری,2
چتر بازی,2
کایت سواری,3
صخره نوردی,2
غار نوردی,2
بدنسازی,2
بند بازی,2
ژیمناستیک,2
موتور سواری,2
کوهنوردی,2
موج سواری,2
ماهی گیری,2
پرورش اندام,2
بدمینتون,2
تنیس روی میز,2
اسکی,2
اسکی روی چمن,2
سورتمه سواری,3
تیراندازی با تفنگ,2
تیرانداری با کمان,2
بولینگ,2
دارت,1
بیلیارد,2
هفت سنگ,1
فوتبال,1
بسکتبال,1
والیبال,2
هندبال,1
بیسبال,2
فوتسال,1
هاکی روی یخ,2
پینت بال,2
والیبال ساحلی,2
فوتبال ساحلی,2
والیبال نشسته,2
شطرنج,1
شنا,1
شیرجه,2
غواصی,2
یوگا,2
اوت,1
پاس,1
پاس عمق,2
پنالتی,2
دروازه ,1
دروازه بان,1
دریبل,2
شوت,1
کارت زرد,1
کارت قرمز,1
گل,1
مهاجم,2
وقت اضافه,1
یارگیری,2
شهرآورد,2
تماشاچی,2
استادیوم,2
جام جهانی,2
المپیک,2
خطا,1
محوطه جریمه,2
فیتیله پیچ,2
ضربه فنی,2
پرتاب سه امتیازی,2
ضد حمله,2
زورخانه,2
پهلوان,2
داور,1
توپ,1
سرویس,2
هالتر,2
پرسپولیس,2
استقلال,1
لیگ برتر,2
قهرمان جام,2
دربی,2
نَود,1
پینگ پونگ,2
نیمکت ذخیره,2
گل,1
مانتو,1
لباس,1
پیژامه,2
شلوار,1
پیراهن,2
ساعت,1
النگو,1
گوشواره,1
شلوارک,1
کیف,2
کیف پولی,2
کفش مجلسی,2
کفش اسپرت,2
زیورآلات,2
انگشتر,1
حلقه,1
رژ لب,1
رژ گونه,1
سایه چشم,2
پنکک,1
جوراب,1
ژل مو,1
تافت,1
واکس مو,1
دامن,1
مقنعه,1
چادر,1
بلوز,1
عینک طبی,2
عینک آفتابی,2
کت,1
شلوار,1
کاپشن,1
رِکابی,2
شورت,1
دستکش,1
شلوار ورزشی,2
تی شرت,2
لباس خواب,1
ژاکت,1
ژیله,2
سویت شرت,2
کراوات,1
پاپیون,2
دو ایکس لارج,2
یقه هفت,2
یقه گرد,2
شورت مایو,2
آستین حلقه ای,2
بارانی,2
کمربند,1
لباس فرم,1
پولیور,2
دمپایی,2
صندل,1
شامپو,1
صابون,1
تیغ,2
ریش تراش,2
افتر شیو,2
ادکلن,1
اسپری,2
کرم ضدآفتاب,1
شامپو بدن,1
لنز ,1
خالکوبی,2
ساپورت,1
کلاه,1
رنگ مو,1
مو چین,2
عطر,1
چکمه,1
کلاه گیس,2
شال گردن,1
چتر,1
دستبند,1
کلاه کاسکت,1
شانه,1
فرچه,2
فرمژه,1
ریمل,2
خط لب,1
اتو,1
آفتابه,1
آینه,2
بُرِس,1
بُرِس کفش,2
بُرِس لباس,2
ناخن گیر,2
بیگودی,2
پنبه,1
پودر رخت شویی,2
پودر بچه,1
پوشک,1
تل سر,1
حوله,1
خط ابرو,2
خط چشم,1
خمیر ریش,2
خمیر دندان,2
خودتراش,3
دستمال کاغذی,2
سشوار,1
قیچی,2
کرم شب,1
کرم پودر,2
کش سر,1
گل سر,2
گوش پاک کن,1
لاک ناخن,1
لوسیون,2
ماتیک,2
ماسک صورت,1
مسواک,1
مومک,2
نخ دندان,1
نرم کننده مو,1
دکتر جراح قلب,2
نانوا,1
MVM X33,2
تشَک کشتی ,2
کوکو سبزی ,2
ساز دهنی,2
باقالی پلو,1
ته چین مرغ,2
استیک,2
سیب  زمینی سرخ شده,2
بختیاری,2
بستنی ژله ای,2
رانی هلو,3
پای سیب,2
چلو مرغ,2
شلغم,2
شوید پلو,2
چلو گوشت,3
جوشکار,1
معمار,2
فروشنده,1
روانپزشک,1
باغبان,1
راننده آژانس,2
مدیر مدرسه,2
استاد دانشگاه,1
لوازم تحریری,2
مبل سازی,2
مکانیکی,2
خوانندگی,2
دماوند,1
هیمالیا,2
زاگرس,1
خوب,1
بد,1
خنگ,2
بیننده,2
بافنده,2
با فرهنگ,3
بافنده,2
خواهان,3
ستمگر,1
بی صفت ,3
روانی,2
دیوانه,2
زیبا,2
شکیبا,2
کوشا,3
خوانا,3
ناخوانا,2
نادان,2
خوش صحبت,3
لال,1
بینا,2
پویا,2
فعال,1
پرمو ,2
کم مو,1
سوزان,2
قد کوتاه,1
زشت,1
طلایی,2
خندان,2
سبز,1
نقره ای,2
قهوه ای,2
زرشکی,2
آلبالویی,2
قوی,2
آبی,2
بور,2
نارنجی,2
مشکی,2
صورتی,2
زرد,1
قرتی,3
غیرتی,2
حسود,1
دانا,1
کم حرف,1
شنگول,1
ستمکار,3
بنفش,1
تیز,2
تند,1
کند,1
مشتاق,2
پیشرو,2
سفت,1
متواضع,3
لنگ,1
کج,1
لاغر,1
صاف,1
چاق,1
متناسب,3
خوش اندام,2
ورزیده,2
خوش تیپ,2
ضعیف,2
بدبین,2
خوش بین,2
امیدوار,2
نا امید,2
برتر,2
سنگ دل,2
مغرور,1
شَر,2
شکاک,3
حساس,3
شاکی,2
معتاد,1
آسمانی,2
دماغ عملی,2
رویایی,2
عرفانی,2
هوایی,2
دل تنگ,1
ظالم,2
دلشاد,2
آتشی,3
محکم,1
سرد,1
شیرازی,2
اصفهانی,2
پرخور,1
مهربان,1
حق شناس,3
هنرپیشه,3
عصبی,2
نمک نشناس,2
هنرجو,3
هنرمند,1
حامی,2
باشعور,3
نفهم,1
باحال,2
خنده رو,3
اخمو,1
تلخ,1
گران,1
شیرین,2
ارزان,1
شور,1
ترسناک,1
خنده دار,1
کمدی,2
وحشتناک,2
ساده,1
بلند,1
کوتاه,1
خاموش,1
تنگ,1
گشاد,1
روشن ,1
سرخ,1
تیره,2
